,correlation,auc_position,auc_to_maxindex,time
IsoForest,0.782,4.0,0.736,5.822033405303955
KLR_p,0.721,4.0,0.736,539.0435838699341
KLR_f,0.721,4.0,0.736,534.4681673049927
LRG_nystroem_p,0.648,4.0,0.736,71.26419591903687
LRG_nystroem_f,0.648,4.0,0.736,75.435129404068
SVM_p,0.673,3.0,0.775,72.06511306762695
SVM_f,0.733,4.0,0.736,68.40559029579163
LRG_linear,0.733,4.0,0.736,0.6392955780029297
SVM_linear,0.733,4.0,0.736,0.6386160850524902
KNNC_10%,0.733,4.0,0.736,15.91100287437439
KNNC_50%,0.721,4.0,0.736,92.74988985061646
KNNM_10%,0.721,4.0,0.736,15.754544019699097
KNNM_50%,0.721,4.0,0.736,92.48607635498048
MLP,0.721,4.0,0.736,22.1289324760437
KNNC_W_50%,0.903,3.0,0.729,952.979466676712
