,correlation,auc_position,auc_to_maxindex
KLR_p,0.794,3.0,0.729
KLR_f,0.794,3.0,0.729
LRG_nystroem_p,0.794,3.0,0.729
LRG_nystroem_f,0.794,3.0,0.729
SVM_p,0.794,3.0,0.729
SVM_f,0.794,3.0,0.729
LRG_linear,0.794,3.0,0.729
SVM_linear,0.794,3.0,0.729
KNNC_10%,0.83,3.0,0.729
KNNC_50%,0.855,3.0,0.729
KNNM_10%,0.842,3.0,0.729
KNNM_50%,0.842,3.0,0.729
MLP,0.867,3.0,0.729
