,correlation,auc_position,auc_to_maxindex,time
IsoForest,0.758,3.0,0.722,2.7219507694244385
KLR_p,0.552,3.0,0.722,528.9093155860901
KLR_f,0.721,3.0,0.722,511.55883741378784
LRG_nystroem_p,0.564,3.0,0.722,67.63274502754211
LRG_nystroem_f,0.564,3.0,0.722,65.68524885177612
SVM_p,0.43,6.0,0.622,71.84328866004944
SVM_f,0.564,3.0,0.722,68.8338713645935
LRG_linear,0.552,3.0,0.722,0.5737123489379883
SVM_linear,0.564,3.0,0.722,0.6655998229980469
KNNC_10%,0.721,3.0,0.722,15.788601636886597
KNNC_50%,0.709,3.0,0.722,92.10772013664246
KNNM_10%,0.721,3.0,0.722,15.94509243965149
KNNM_50%,0.721,3.0,0.722,92.16476941108704
MLP,0.758,3.0,0.722,22.641255140304565
KNNC_W_50%,0.745,2.0,0.738,940.2627747058868
