,correlation,auc_position,auc_to_maxindex
KLR_p,0.697,2.0,0.738
KLR_f,0.697,2.0,0.738
LRG_nystroem_p,0.697,2.0,0.738
LRG_nystroem_f,0.697,2.0,0.738
SVM_p,0.697,2.0,0.738
SVM_f,0.697,2.0,0.738
LRG_linear,0.661,2.0,0.738
SVM_linear,0.661,2.0,0.738
KNNC_10%,0.721,2.0,0.738
KNNC_50%,0.721,2.0,0.738
KNNM_10%,0.77,2.0,0.738
KNNM_50%,0.758,2.0,0.738
MLP,0.612,2.0,0.738
