,correlation,auc_position,auc_to_maxindex
KLR_p,0.77,2.0,0.856
KLR_f,0.77,2.0,0.856
LRG_nystroem_p,0.77,2.0,0.856
LRG_nystroem_f,0.721,2.0,0.856
SVM_p,0.782,2.0,0.856
SVM_f,0.794,2.0,0.856
LRG_linear,0.77,2.0,0.856
SVM_linear,0.77,2.0,0.856
KNNC_10%,0.709,5.0,0.587
KNNC_50%,0.685,5.0,0.587
KNNM_10%,0.758,2.0,0.856
KNNM_50%,0.758,2.0,0.856
MLP,0.624,2.0,0.856
