,correlation,auc_position,auc_to_maxindex,time
IsoForest,0.527,6.0,0.644,
KLR_p,0.527,6.0,0.644,
KLR_f,0.527,6.0,0.644,
LRG_nystroem_p,0.527,6.0,0.644,
LRG_nystroem_f,0.527,6.0,0.644,
SVM_p,0.588,6.0,0.644,
SVM_f,0.661,6.0,0.644,
LRG_linear,0.527,6.0,0.644,
SVM_linear,0.673,6.0,0.644,
KNNC_10%,0.491,6.0,0.644,
KNNC_50%,0.479,6.0,0.644,
KNNM_10%,0.539,6.0,0.644,
KNNM_50%,0.527,6.0,0.644,
MLP,0.588,6.0,0.644,
KNNC_W_50%,0.624,5.0,0.587,59.105326414108276
