,correlation,auc_position,auc_to_maxindex,time
IsoForest,0.212,9.0,0.49,
KLR_p,-0.248,9.0,0.49,
KLR_f,-0.152,9.0,0.49,
LRG_nystroem_p,-0.285,9.0,0.49,
LRG_nystroem_f,-0.273,9.0,0.49,
SVM_p,-0.467,9.0,0.49,
SVM_f,-0.333,9.0,0.49,
LRG_linear,-0.079,9.0,0.49,
SVM_linear,-0.491,9.0,0.49,
KNNC_10%,0.176,9.0,0.49,
KNNC_50%,0.224,9.0,0.49,
KNNM_10%,0.115,9.0,0.49,
KNNM_50%,0.127,9.0,0.49,
MLP,0.527,1.0,1.0,
KNNC_W_50%,0.188,4.0,0.734,56.0104718208313
