,correlation,auc_position,auc_to_maxindex
KLR_p,0.406,4.0,0.734
KLR_f,0.37,4.0,0.734
LRG_nystroem_p,0.503,4.0,0.734
LRG_nystroem_f,0.37,4.0,0.734
SVM_p,0.479,4.0,0.734
SVM_f,0.527,4.0,0.734
LRG_linear,0.406,4.0,0.734
SVM_linear,0.442,7.0,0.469
KNNC_10%,0.297,4.0,0.734
KNNC_50%,0.212,4.0,0.734
KNNM_10%,0.236,4.0,0.734
KNNM_50%,0.297,4.0,0.734
MLP,0.624,4.0,0.734
