,correlation,auc_position,auc_to_maxindex,time
IsoForest,0.612,3.0,0.821,
KLR_p,0.842,3.0,0.821,
KLR_f,0.806,3.0,0.821,
LRG_nystroem_p,0.806,3.0,0.821,
LRG_nystroem_f,0.77,3.0,0.821,
SVM_p,0.806,3.0,0.821,
SVM_f,0.818,3.0,0.821,
LRG_linear,0.842,3.0,0.821,
SVM_linear,0.818,3.0,0.821,
KNNC_10%,0.782,3.0,0.821,
KNNC_50%,0.782,3.0,0.821,
KNNM_10%,0.806,3.0,0.821,
KNNM_50%,0.794,3.0,0.821,
MLP,0.733,3.0,0.821,
KNNC_W_50%,0.091,2.0,0.883,61.09460687637329
