,correlation,auc_position,auc_to_maxindex
KLR_p,0.648,2.0,0.883
KLR_f,0.648,2.0,0.883
LRG_nystroem_p,0.648,2.0,0.883
LRG_nystroem_f,0.6,3.0,0.794
SVM_p,0.661,2.0,0.883
SVM_f,0.612,2.0,0.883
LRG_linear,0.636,3.0,0.794
SVM_linear,0.576,2.0,0.883
KNNC_10%,0.636,3.0,0.794
KNNC_50%,0.6,3.0,0.794
KNNM_10%,0.648,3.0,0.794
KNNM_50%,0.636,3.0,0.794
MLP,0.794,3.0,0.794
