,correlation,auc_position,auc_to_maxindex
KLR_p,0.091,1.0,0.995
KLR_f,0.055,1.0,0.995
LRG_nystroem_p,0.055,1.0,0.995
LRG_nystroem_f,-0.067,1.0,0.995
SVM_p,0.115,1.0,0.995
SVM_f,0.115,1.0,0.995
LRG_linear,0.345,1.0,0.995
SVM_linear,0.309,1.0,0.995
KNNC_10%,0.527,1.0,0.995
KNNC_50%,0.527,1.0,0.995
KNNM_10%,0.321,1.0,0.995
KNNM_50%,0.527,1.0,0.995
MLP,0.527,1.0,0.995
