,correlation,auc_position,auc_to_maxindex
SVM_p,-0.806,9.0,0.395
SVM_f,-0.661,9.0,0.395
LRG_linear,-0.224,9.0,0.395
SVM_linear,-0.576,9.0,0.395
KNNC_10%,-0.83,9.0,0.395
KNNC_50%,-0.83,9.0,0.395
KNNM_10%,-0.83,9.0,0.395
KNNM_50%,-0.83,9.0,0.395
MLP,-0.879,9.0,0.395
