,correlation,auc_position,auc_to_maxindex
KLR_p,0.697,5.0,0.582
KLR_f,0.661,5.0,0.582
LRG_nystroem_p,0.697,5.0,0.582
LRG_nystroem_f,0.745,5.0,0.582
SVM_p,0.552,5.0,0.582
SVM_f,0.515,5.0,0.582
LRG_linear,0.564,5.0,0.582
SVM_linear,0.673,5.0,0.582
KNNC_10%,0.624,5.0,0.582
KNNC_50%,0.6,5.0,0.582
KNNM_10%,0.576,5.0,0.582
KNNM_50%,0.661,5.0,0.582
MLP,0.709,5.0,0.582
