,correlation,auc_position,auc_to_maxindex,time
IsoForest,0.37,8.0,0.433,
KLR_p,0.539,8.0,0.433,
KLR_f,0.491,8.0,0.433,
LRG_nystroem_p,0.527,8.0,0.433,
LRG_nystroem_f,0.564,8.0,0.433,
SVM_p,0.527,8.0,0.433,
SVM_f,0.467,8.0,0.433,
LRG_linear,0.527,8.0,0.433,
SVM_linear,0.467,8.0,0.433,
KNNC_10%,0.442,8.0,0.433,
KNNC_50%,0.442,8.0,0.433,
KNNM_10%,0.503,8.0,0.433,
KNNM_50%,0.442,8.0,0.433,
MLP,0.455,8.0,0.433,
KNNC_W_50%,0.636,5.0,0.582,76.2600953578949
