,correlation,auc_position,auc_to_maxindex
KLR_p,0.697,2.0,0.936
KLR_f,0.721,2.0,0.936
LRG_nystroem_p,0.685,2.0,0.936
LRG_nystroem_f,0.685,2.0,0.936
SVM_p,0.697,2.0,0.936
SVM_f,0.697,2.0,0.936
LRG_linear,0.721,2.0,0.936
SVM_linear,0.721,2.0,0.936
KNNC_10%,0.83,2.0,0.936
KNNC_50%,0.879,2.0,0.936
KNNM_10%,0.721,2.0,0.936
KNNM_50%,0.782,2.0,0.936
MLP,0.952,1.0,0.997
