,correlation,auc_position,auc_to_maxindex,time
IsoForest,0.588,1.0,0.996,5.812815427780151
KLR_p,0.467,2.0,0.938,454.5171580314636
KLR_f,0.539,2.0,0.938,436.587856054306
LRG_nystroem_p,0.479,1.0,0.996,37.35825777053833
LRG_nystroem_f,0.552,1.0,0.996,38.209176778793335
SVM_p,0.467,2.0,0.938,46.440980195999146
SVM_f,0.479,1.0,0.996,46.181398153305054
LRG_linear,0.539,2.0,0.938,0.29927659034729
SVM_linear,0.552,1.0,0.996,0.265216588973999
KNNC_10%,0.588,1.0,0.996,9.369828462600708
KNNC_50%,0.661,1.0,0.996,50.0540189743042
KNNM_10%,0.539,2.0,0.938,9.456321239471436
KNNM_50%,0.588,1.0,0.996,49.98911929130554
MLP,0.709,1.0,0.996,8.65774917602539
KNNC_W_50%,0.818,1.0,0.996,526.7371845245361
