,correlation,auc_position,auc_to_maxindex
KLR_p,0.37,2.0,0.938
KLR_f,0.479,2.0,0.938
LRG_nystroem_p,0.382,1.0,0.996
LRG_nystroem_f,0.491,1.0,0.996
SVM_p,0.37,2.0,0.938
SVM_f,0.382,1.0,0.996
LRG_linear,0.539,2.0,0.938
SVM_linear,0.527,1.0,0.996
KNNC_10%,0.576,1.0,0.996
KNNC_50%,0.648,1.0,0.996
KNNM_10%,0.539,2.0,0.938
KNNM_50%,0.576,1.0,0.996
MLP,0.673,1.0,0.996
