,correlation,auc_position,auc_to_maxindex
KLR_p,0.43,3.0,0.791
KLR_f,0.394,6.0,0.512
LRG_nystroem_p,0.43,3.0,0.791
LRG_nystroem_f,0.455,6.0,0.512
SVM_p,0.394,6.0,0.512
SVM_f,0.467,3.0,0.791
LRG_linear,0.418,3.0,0.791
SVM_linear,0.37,7.0,0.418
KNNC_10%,0.382,6.0,0.512
KNNC_50%,0.43,6.0,0.512
KNNM_10%,0.394,6.0,0.512
KNNM_50%,0.382,6.0,0.512
MLP,0.358,6.0,0.512
