,correlation,auc_position,auc_to_maxindex,time
IsoForest,0.758,4.0,0.682,
KLR_p,0.527,1.0,0.915,
KLR_f,0.539,1.0,0.915,
LRG_nystroem_p,0.467,7.0,0.443,
LRG_nystroem_f,0.539,1.0,0.915,
SVM_p,0.467,7.0,0.443,
SVM_f,0.37,3.0,0.761,
LRG_linear,0.467,7.0,0.443,
SVM_linear,0.515,3.0,0.761,
KNNC_10%,0.636,1.0,0.915,
KNNC_50%,0.855,1.0,0.915,
KNNM_10%,0.564,1.0,0.915,
KNNM_50%,0.588,1.0,0.915,
MLP,0.479,4.0,0.682,
KNNC_W_50%,0.624,1.0,0.975,56.686835527420044
