,correlation,auc_position,auc_to_maxindex,time
IsoForest,0.927,1.0,0.996,1.7460942268371582
KLR_p,0.733,2.0,0.932,487.0992240905762
KLR_f,0.733,2.0,0.932,474.4064743518829
LRG_nystroem_p,0.636,1.0,0.996,40.41998791694641
LRG_nystroem_f,0.636,1.0,0.996,44.928977966308594
SVM_p,0.745,1.0,0.996,47.13354849815369
SVM_f,0.697,1.0,0.996,46.06381106376648
LRG_linear,0.83,2.0,0.932,0.2589828968048095
SVM_linear,0.733,2.0,0.932,0.2888660430908203
KNNC_10%,0.927,1.0,0.996,9.707499504089355
KNNC_50%,0.927,1.0,0.996,49.94797325134277
KNNM_10%,0.83,2.0,0.932,9.452003479003906
KNNM_50%,0.891,1.0,0.996,50.37989091873169
MLP,0.988,1.0,0.996,8.829846382141113
KNNC_W_50%,0.903,3.0,0.869,528.5587487220764
