,correlation,auc_position,auc_to_maxindex
KLR_p,0.673,3.0,0.869
KLR_f,0.673,3.0,0.869
LRG_nystroem_p,0.648,1.0,0.996
LRG_nystroem_f,0.624,3.0,0.869
SVM_p,0.721,1.0,0.996
SVM_f,0.648,1.0,0.996
LRG_linear,0.673,3.0,0.869
SVM_linear,0.709,2.0,0.932
KNNC_10%,0.794,3.0,0.869
KNNC_50%,0.842,3.0,0.869
KNNM_10%,0.673,3.0,0.869
KNNM_50%,0.794,3.0,0.869
MLP,0.915,3.0,0.869
