,correlation,auc_position,auc_to_maxindex
KLR_p,0.782,1.0,0.865
KLR_f,0.77,2.0,0.781
LRG_nystroem_p,0.782,1.0,0.865
LRG_nystroem_f,0.758,1.0,0.865
SVM_p,0.77,1.0,0.865
SVM_f,0.77,1.0,0.865
LRG_linear,0.576,5.0,0.521
SVM_linear,0.733,1.0,0.865
KNNC_10%,0.564,2.0,0.781
KNNC_50%,0.382,5.0,0.521
KNNM_10%,0.515,5.0,0.521
KNNM_50%,0.418,5.0,0.521
MLP,0.236,8.0,0.26
