,correlation,auc_position,auc_to_maxindex,time
IsoForest,-0.139,7.0,0.698,
KLR_p,0.164,7.0,0.698,
KLR_f,0.212,7.0,0.698,
LRG_nystroem_p,0.212,7.0,0.698,
LRG_nystroem_f,0.212,7.0,0.698,
SVM_p,0.103,7.0,0.698,
SVM_f,0.261,7.0,0.698,
LRG_linear,0.212,7.0,0.698,
SVM_linear,0.164,7.0,0.698,
KNNC_10%,0.067,7.0,0.698,
KNNC_50%,0.079,7.0,0.698,
KNNM_10%,0.212,7.0,0.698,
KNNM_50%,0.115,7.0,0.698,
MLP,0.127,3.0,0.896,
KNNC_W_50%,-0.012,6.0,0.49,37.97634744644165
