,correlation,auc_position,auc_to_maxindex
KLR_p,0.697,5.0,0.567
KLR_f,0.697,5.0,0.567
LRG_nystroem_p,0.745,5.0,0.567
LRG_nystroem_f,0.745,1.0,0.945
SVM_p,0.782,1.0,0.945
SVM_f,0.636,5.0,0.567
LRG_linear,0.745,1.0,0.945
SVM_linear,0.648,5.0,0.567
KNNC_10%,0.721,1.0,0.945
KNNC_50%,0.721,1.0,0.945
KNNM_10%,0.745,1.0,0.945
KNNM_50%,0.721,1.0,0.945
MLP,0.079,1.0,0.945
