,correlation,auc_position,auc_to_maxindex,time
IsoForest,0.782,4.0,0.704,
KLR_p,0.77,2.0,0.866,
KLR_f,0.77,2.0,0.866,
LRG_nystroem_p,0.77,2.0,0.866,
LRG_nystroem_f,0.77,2.0,0.866,
SVM_p,0.758,3.0,0.786,
SVM_f,0.709,2.0,0.866,
LRG_linear,0.77,2.0,0.866,
SVM_linear,0.782,2.0,0.866,
KNNC_10%,0.806,2.0,0.866,
KNNC_50%,0.806,2.0,0.866,
KNNM_10%,0.806,2.0,0.866,
KNNM_50%,0.782,4.0,0.704,
MLP,0.818,4.0,0.704,
KNNC_W_50%,0.43,6.0,0.473,53.18149757385254
