,correlation,auc_position,auc_to_maxindex,time
IsoForest,0.115,3.0,0.876,
KLR_p,-0.188,10.0,0.454,128.7103259563446
KLR_f,-0.018,3.0,0.876,
LRG_nystroem_p,-0.273,10.0,0.454,
LRG_nystroem_f,-0.236,10.0,0.454,
SVM_p,-0.188,10.0,0.454,
SVM_f,-0.273,10.0,0.454,
LRG_linear,-0.236,10.0,0.454,
SVM_linear,-0.273,10.0,0.454,
KNNC_10%,0.224,3.0,0.876,
KNNC_50%,0.224,3.0,0.876,
KNNM_10%,0.018,3.0,0.876,
KNNM_50%,0.115,3.0,0.876,
MLP,0.333,3.0,0.876,
KNNC_W_50%,-0.055,6.0,0.536,172.8112769126892
