,correlation,auc_position,auc_to_maxindex
KLR_p,0.576,3.0,0.786
KLR_f,0.576,3.0,0.786
LRG_nystroem_p,0.467,5.0,0.597
LRG_nystroem_f,0.576,3.0,0.786
SVM_p,0.467,5.0,0.597
SVM_f,0.273,5.0,0.597
LRG_linear,0.467,5.0,0.597
SVM_linear,0.37,5.0,0.597
KNNC_10%,0.648,3.0,0.786
KNNC_50%,0.867,3.0,0.786
KNNM_10%,0.576,3.0,0.786
KNNM_50%,0.636,3.0,0.786
MLP,0.709,1.0,0.97
