,correlation,auc_position,auc_to_maxindex,time
IsoForest,0.879,1.0,0.997,5.956387042999268
KLR_p,0.176,2.0,0.947,4911.357379436493
KLR_f,0.164,2.0,0.947,4864.8886642456055
LRG_nystroem_p,0.176,2.0,0.947,44.21363258361816
LRG_nystroem_f,0.261,2.0,0.947,45.17804455757141
SVM_p,0.224,2.0,0.947,46.62513709068298
SVM_f,0.164,2.0,0.947,45.925052881240845
LRG_linear,0.394,2.0,0.947,0.3016479015350342
SVM_linear,0.261,2.0,0.947,0.2660887241363525
KNNC_10%,0.842,2.0,0.947,9.637206554412842
KNNC_50%,0.879,2.0,0.947,50.48780965805054
KNNM_10%,0.406,2.0,0.947,9.523825407028198
KNNM_50%,0.636,2.0,0.947,50.6027946472168
MLP,0.976,1.0,0.997,8.418076515197754
KNNC_W_50%,0.927,1.0,0.997,522.9854781627655
