,correlation,auc_position,auc_to_maxindex
KLR_p,0.176,2.0,0.947
KLR_f,0.164,2.0,0.947
LRG_nystroem_p,0.176,2.0,0.947
LRG_nystroem_f,0.261,2.0,0.947
SVM_p,0.224,2.0,0.947
SVM_f,0.164,2.0,0.947
LRG_linear,0.394,2.0,0.947
SVM_linear,0.261,2.0,0.947
KNNC_10%,0.842,2.0,0.947
KNNC_50%,0.879,2.0,0.947
KNNM_10%,0.406,2.0,0.947
KNNM_50%,0.636,2.0,0.947
MLP,0.976,1.0,0.997
