,correlation,auc_position,auc_to_maxindex
KLR_p,0.697,3.0,0.761
KLR_f,0.697,3.0,0.761
LRG_nystroem_p,0.758,3.0,0.761
LRG_nystroem_f,0.806,3.0,0.761
SVM_p,0.794,3.0,0.761
SVM_f,0.758,3.0,0.761
LRG_linear,0.794,3.0,0.761
SVM_linear,0.745,3.0,0.761
KNNC_10%,0.758,3.0,0.761
KNNC_50%,0.758,3.0,0.761
KNNM_10%,0.806,3.0,0.761
KNNM_50%,0.818,3.0,0.761
MLP,0.867,3.0,0.761
