,correlation,auc_position,auc_to_maxindex,time
IsoForest,0.115,9.0,0.41,
KLR_p,0.297,9.0,0.41,
KLR_f,0.285,9.0,0.41,
LRG_nystroem_p,0.333,9.0,0.41,
LRG_nystroem_f,0.333,9.0,0.41,
SVM_p,0.418,9.0,0.41,
SVM_f,0.467,9.0,0.41,
LRG_linear,0.382,9.0,0.41,
SVM_linear,0.43,9.0,0.41,
KNNC_10%,0.285,9.0,0.41,
KNNC_50%,0.188,9.0,0.41,
KNNM_10%,0.285,9.0,0.41,
KNNM_50%,0.285,9.0,0.41,
MLP,0.224,9.0,0.41,
KNNC_W_50%,0.539,3.0,0.761,62.20514249801636
