,correlation,auc_position,auc_to_maxindex,time
IsoForest,0.309,7.0,0.703,
KLR_p,0.212,7.0,0.703,
KLR_f,0.212,7.0,0.703,
LRG_nystroem_p,0.188,7.0,0.703,
LRG_nystroem_f,0.261,7.0,0.703,
SVM_p,0.188,7.0,0.703,
SVM_f,0.261,7.0,0.703,
LRG_linear,0.188,7.0,0.703,
SVM_linear,0.224,7.0,0.703,
KNNC_10%,0.261,7.0,0.703,
KNNC_50%,0.358,7.0,0.703,
KNNM_10%,0.321,7.0,0.703,
KNNM_50%,0.321,7.0,0.703,
MLP,0.309,7.0,0.703,
KNNC_W_50%,0.406,4.0,0.714,54.63009190559387
