,correlation,auc_position,auc_to_maxindex
KLR_p,0.636,4.0,0.714
KLR_f,0.636,4.0,0.714
LRG_nystroem_p,0.636,4.0,0.714
LRG_nystroem_f,0.636,4.0,0.714
SVM_p,0.636,4.0,0.714
SVM_f,0.624,4.0,0.714
LRG_linear,0.539,4.0,0.714
SVM_linear,0.636,4.0,0.714
KNNC_10%,0.539,4.0,0.714
KNNC_50%,0.321,4.0,0.714
KNNM_10%,0.648,4.0,0.714
KNNM_50%,0.515,4.0,0.714
MLP,0.685,4.0,0.714
