,correlation,auc_position,auc_to_maxindex,time
IsoForest,0.552,5.0,0.577,
KLR_p,0.636,2.0,0.846,
KLR_f,0.636,2.0,0.846,
LRG_nystroem_p,0.648,2.0,0.846,
LRG_nystroem_f,0.6,2.0,0.846,
SVM_p,0.697,2.0,0.846,
SVM_f,0.648,2.0,0.846,
LRG_linear,0.6,2.0,0.846,
SVM_linear,0.648,2.0,0.846,
KNNC_10%,0.636,2.0,0.846,
KNNC_50%,0.758,2.0,0.846,
KNNM_10%,0.636,2.0,0.846,
KNNM_50%,0.636,2.0,0.846,
MLP,0.867,2.0,0.846,
KNNC_W_50%,0.455,7.0,0.418,52.81285095214844
