,correlation,auc_position,auc_to_maxindex
KLR_p,0.939,1.0,0.841
KLR_f,0.939,1.0,0.841
LRG_nystroem_p,0.939,1.0,0.841
LRG_nystroem_f,0.939,1.0,0.841
SVM_p,0.879,1.0,0.841
SVM_f,0.939,1.0,0.841
LRG_linear,0.915,1.0,0.841
SVM_linear,0.915,1.0,0.841
KNNC_10%,0.952,1.0,0.841
KNNC_50%,0.952,1.0,0.841
KNNM_10%,0.939,1.0,0.841
KNNM_50%,0.952,1.0,0.841
MLP,0.903,1.0,0.841
