,correlation,auc_position,auc_to_maxindex,time
IsoForest,0.491,8.0,0.611,5.852887392044067
KLR_p,0.418,8.0,0.611,536.0764479637146
KLR_f,0.418,8.0,0.611,521.2160220146179
LRG_nystroem_p,0.382,8.0,0.611,68.20222640037537
LRG_nystroem_f,0.382,8.0,0.611,73.34085416793823
SVM_p,0.418,8.0,0.611,71.5841736793518
SVM_f,0.382,8.0,0.611,68.70961546897888
LRG_linear,0.382,8.0,0.611,0.655623197555542
SVM_linear,0.382,8.0,0.611,0.5892672538757324
KNNC_10%,0.418,8.0,0.611,15.888532161712646
KNNC_50%,0.491,8.0,0.611,92.30400824546814
KNNM_10%,0.394,8.0,0.611,15.891278743743896
KNNM_50%,0.43,8.0,0.611,92.00156474113464
MLP,0.479,8.0,0.611,22.58552479743957
KNNC_W_50%,0.891,1.0,0.93,935.506716966629
