,correlation,auc_position,auc_to_maxindex
KLR_p,0.855,1.0,0.93
KLR_f,0.855,1.0,0.93
LRG_nystroem_p,0.806,1.0,0.93
LRG_nystroem_f,0.806,1.0,0.93
SVM_p,0.794,1.0,0.93
SVM_f,0.806,1.0,0.93
LRG_linear,0.806,1.0,0.93
SVM_linear,0.83,1.0,0.93
KNNC_10%,0.903,1.0,0.93
KNNC_50%,0.903,1.0,0.93
KNNM_10%,0.927,1.0,0.93
KNNM_50%,0.903,1.0,0.93
MLP,0.77,1.0,0.93
