,correlation,auc_position,auc_to_maxindex
KLR_p,0.43,7.0,0.542
KLR_f,0.43,7.0,0.542
LRG_nystroem_p,0.527,2.0,0.927
LRG_nystroem_f,0.43,7.0,0.542
SVM_p,0.612,2.0,0.927
SVM_f,0.527,2.0,0.927
LRG_linear,0.527,2.0,0.927
SVM_linear,0.612,2.0,0.927
KNNC_10%,0.43,7.0,0.542
KNNC_50%,0.43,7.0,0.542
KNNM_10%,0.358,7.0,0.542
KNNM_50%,0.358,7.0,0.542
MLP,0.467,7.0,0.542
