,correlation,auc_position,auc_to_maxindex
KLR_p,0.309,6.0,0.542
KLR_f,0.309,6.0,0.542
LRG_nystroem_p,0.297,7.0,0.458
LRG_nystroem_f,0.309,6.0,0.542
SVM_p,0.309,6.0,0.542
SVM_f,0.297,7.0,0.458
LRG_linear,0.285,7.0,0.458
SVM_linear,0.297,7.0,0.458
KNNC_10%,0.309,6.0,0.542
KNNC_50%,0.212,7.0,0.458
KNNM_10%,0.212,6.0,0.542
KNNM_50%,0.115,7.0,0.458
MLP,0.588,1.0,0.99
