,correlation
LogisticRegression_probability,0.427
KLR_probability,0.427
KLR_distance,0.427
LogisticRegression_distance,0.427
SVC_probability,0.476
SVC_distance,0.451
KNNM_10%,0.427
KNNM_50%,0.427
KNNC_10%,0.427
KNNC_50%,0.366
LinearSVC_probability,0.476
LinearSVC_distance,0.451
