,correlation,auc_position,auc_to_maxindex
KLR_p,0.842,2.0,0.904
KLR_f,0.842,2.0,0.904
LRG_nystroem_p,0.855,1.0,0.973
LRG_nystroem_f,0.855,1.0,0.973
SVM_p,0.842,2.0,0.904
SVM_f,0.855,1.0,0.973
LRG_linear,0.891,2.0,0.904
SVM_linear,0.855,1.0,0.973
KNNC_10%,0.952,2.0,0.904
KNNC_50%,0.952,1.0,0.973
KNNM_10%,0.855,2.0,0.904
KNNM_50%,0.891,2.0,0.904
MLP,0.952,1.0,0.973
