,correlation,auc_position,auc_to_maxindex,time
IsoForest,0.952,1.0,0.973,1.7159645557403564
KLR_p,0.939,2.0,0.928,644.9265413284302
KLR_f,0.939,2.0,0.928,616.8440470695496
LRG_nystroem_p,0.952,1.0,0.973,43.18314123153687
LRG_nystroem_f,0.952,2.0,0.928,35.73441553115845
SVM_p,0.939,2.0,0.928,46.578857421875
SVM_f,0.952,1.0,0.973,46.05111908912659
LRG_linear,0.952,2.0,0.928,0.2679946422576904
SVM_linear,0.939,2.0,0.928,0.2687225341796875
KNNC_10%,0.939,2.0,0.928,9.480451107025146
KNNC_50%,0.939,2.0,0.928,50.08398628234863
KNNM_10%,0.915,2.0,0.928,9.38245701789856
KNNM_50%,0.939,2.0,0.928,50.31804299354553
MLP,0.939,2.0,0.928,9.106070756912231
KNNC_W_50%,0.952,1.0,0.973,514.6175825595856
