,correlation,auc_position,auc_to_maxindex
KLR_p,0.539,1.0,0.993
KLR_f,0.661,1.0,0.993
LRG_nystroem_p,0.442,1.0,0.993
LRG_nystroem_f,0.77,1.0,0.993
SVM_p,0.442,1.0,0.993
SVM_f,0.345,6.0,0.674
LRG_linear,0.77,1.0,0.993
SVM_linear,0.709,1.0,0.993
KNNC_10%,0.915,1.0,0.993
KNNC_50%,0.939,1.0,0.993
KNNM_10%,0.806,1.0,0.993
KNNM_50%,0.891,1.0,0.993
MLP,0.976,1.0,0.993
