,correlation,auc_position,auc_to_maxindex,time
IsoForest,0.939,1.0,0.993,5.901747703552246
KLR_p,0.745,1.0,0.993,677.5113799571991
KLR_f,0.806,1.0,0.993,661.0211615562439
LRG_nystroem_p,0.661,1.0,0.993,39.15022134780884
LRG_nystroem_f,0.77,1.0,0.993,43.87398743629456
SVM_p,0.685,1.0,0.993,47.04657697677612
SVM_f,0.612,1.0,0.993,46.50366497039795
LRG_linear,0.806,1.0,0.993,0.2963931560516357
SVM_linear,0.745,1.0,0.993,0.2578721046447754
KNNC_10%,0.903,1.0,0.993,9.715296506881714
KNNC_50%,0.903,1.0,0.993,49.86593389511109
KNNM_10%,0.806,1.0,0.993,9.556549072265623
KNNM_50%,0.879,1.0,0.993,50.630677700042725
MLP,0.952,1.0,0.993,9.016512870788574
KNNC_W_50%,0.976,1.0,0.993,510.4405450820923
