,correlation,auc_position,auc_to_maxindex,time
IsoForest,0.709,3.0,0.718,5.96296238899231
KLR_p,0.758,3.0,0.718,539.9883153438568
KLR_f,0.758,3.0,0.718,511.6422982215881
LRG_nystroem_p,0.782,3.0,0.718,75.96591639518738
LRG_nystroem_f,0.782,3.0,0.718,69.3741226196289
SVM_p,0.818,3.0,0.718,72.25505042076111
SVM_f,0.758,3.0,0.718,68.60237216949463
LRG_linear,0.758,3.0,0.718,0.6685121059417725
SVM_linear,0.758,3.0,0.718,0.5890319347381592
KNNC_10%,0.782,3.0,0.718,15.712936878204346
KNNC_50%,0.758,3.0,0.718,92.22797799110413
KNNM_10%,0.782,3.0,0.718,15.893489599227903
KNNM_50%,0.758,3.0,0.718,91.86197924613953
MLP,0.709,3.0,0.718,22.613653898239136
KNNC_W_50%,0.83,1.0,0.8,955.4625556468964
