,correlation,auc_position,auc_to_maxindex
KLR_p,0.903,1.0,0.8
KLR_f,0.903,1.0,0.8
LRG_nystroem_p,0.927,1.0,0.8
LRG_nystroem_f,0.903,1.0,0.8
SVM_p,0.915,1.0,0.8
SVM_f,0.927,1.0,0.8
LRG_linear,0.915,1.0,0.8
SVM_linear,0.939,1.0,0.8
KNNC_10%,0.891,1.0,0.8
KNNC_50%,0.867,1.0,0.8
KNNM_10%,0.891,1.0,0.8
KNNM_50%,0.867,1.0,0.8
MLP,0.818,1.0,0.8
