,correlation,auc_position,auc_to_maxindex,time
IsoForest,0.867,2.0,0.835,6.146221876144409
KLR_p,0.903,2.0,0.835,546.4562513828278
KLR_f,0.867,2.0,0.835,513.6587145328522
LRG_nystroem_p,0.927,2.0,0.835,79.2556939125061
LRG_nystroem_f,0.927,2.0,0.835,78.11760067939758
SVM_p,0.891,2.0,0.835,72.35336494445801
SVM_f,0.903,2.0,0.835,68.60610103607178
LRG_linear,0.903,2.0,0.835,0.6454582214355469
SVM_linear,0.903,2.0,0.835,0.6139793395996094
KNNC_10%,0.879,2.0,0.835,15.946594476699827
KNNC_50%,0.879,2.0,0.835,92.08925414085388
KNNM_10%,0.879,2.0,0.835,15.962335348129272
KNNM_50%,0.879,2.0,0.835,92.92856574058531
MLP,0.867,2.0,0.835,22.285306930541992
KNNC_W_50%,0.794,3.0,0.764,948.6682782173157
