,correlation,auc_position,auc_to_maxindex
KLR_p,0.855,3.0,0.764
KLR_f,0.891,3.0,0.764
LRG_nystroem_p,0.891,3.0,0.764
LRG_nystroem_f,0.891,3.0,0.764
SVM_p,0.927,3.0,0.764
SVM_f,0.891,3.0,0.764
LRG_linear,0.891,3.0,0.764
SVM_linear,0.903,3.0,0.764
KNNC_10%,0.867,3.0,0.764
KNNC_50%,0.855,3.0,0.764
KNNM_10%,0.855,3.0,0.764
KNNM_50%,0.855,3.0,0.764
MLP,0.855,3.0,0.764
