,correlation,auc_position,auc_to_maxindex,time
IsoForest,0.547,7.0,0.734,
KLR_p,0.559,7.0,0.734,
KLR_f,0.571,7.0,0.734,
LRG_nystroem_p,0.365,6.0,0.734,
LRG_nystroem_f,0.559,6.0,0.734,
SVM_p,0.073,6.0,0.734,
SVM_f,0.073,7.0,0.734,
LRG_linear,0.559,7.0,0.734,
SVM_linear,0.073,7.0,0.734,
KNNC_10%,0.547,7.0,0.734,
KNNC_50%,0.547,6.0,0.734,
KNNM_10%,0.547,7.0,0.734,
KNNM_50%,0.547,7.0,0.734,
MLP,0.778,1.0,1.0,
KNNC_W_50%,0.103,4.0,0.745,39.539276361465454
