,correlation,auc_position,auc_to_maxindex
KLR_p,0.648,6.0,0.522
KLR_f,0.648,6.0,0.522
LRG_nystroem_p,0.648,6.0,0.522
LRG_nystroem_f,0.648,6.0,0.522
SVM_p,0.648,6.0,0.522
SVM_f,0.624,6.0,0.522
LRG_linear,0.648,6.0,0.522
SVM_linear,0.697,6.0,0.522
KNNC_10%,0.709,6.0,0.522
KNNC_50%,0.661,6.0,0.522
KNNM_10%,0.624,6.0,0.522
KNNM_50%,0.661,6.0,0.522
MLP,0.297,6.0,0.522
