,correlation,auc_position,auc_to_maxindex,time
IsoForest,0.329,7.0,0.75,
KLR_p,0.524,7.0,0.75,
KLR_f,0.523,6.0,0.75,
LRG_nystroem_p,0.524,7.0,0.75,
LRG_nystroem_f,0.524,7.0,0.75,
SVM_p,0.524,7.0,0.75,
SVM_f,0.524,7.0,0.75,
LRG_linear,0.537,7.0,0.75,
SVM_linear,0.537,7.0,0.75,
KNNC_10%,0.524,7.0,0.75,
KNNC_50%,0.523,7.0,0.75,
KNNM_10%,0.524,7.0,0.75,
KNNM_50%,0.524,7.0,0.75,
MLP,0.535,7.0,0.75,
KNNC_W_50%,0.588,4.0,0.75,48.41690516471863
