,correlation,auc_position,auc_to_maxindex,time
IsoForest,0.867,1.0,0.998,5.989700555801392
KLR_p,0.782,1.0,0.998,438.3156044483185
KLR_f,0.782,1.0,0.998,407.5659136772156
LRG_nystroem_p,0.782,1.0,0.998,42.83969259262085
LRG_nystroem_f,0.782,1.0,0.998,40.76258039474487
SVM_p,0.782,1.0,0.998,46.60391497612
SVM_f,0.782,1.0,0.998,46.961848735809326
LRG_linear,0.782,1.0,0.998,0.2506046295166015
SVM_linear,0.758,3.0,0.88,0.2862501144409179
KNNC_10%,0.867,1.0,0.998,9.577085256576538
KNNC_50%,0.891,1.0,0.998,50.79019927978516
KNNM_10%,0.83,1.0,0.998,9.648337602615356
KNNM_50%,0.867,1.0,0.998,50.7726571559906
MLP,0.891,1.0,0.998,9.178718566894531
KNNC_W_50%,0.891,1.0,0.998,515.8579964637756
