,correlation,auc_position,auc_to_maxindex
KLR_p,0.758,3.0,0.781
KLR_f,0.758,3.0,0.781
LRG_nystroem_p,0.745,4.0,0.689
LRG_nystroem_f,0.758,4.0,0.689
SVM_p,0.77,3.0,0.781
SVM_f,0.77,3.0,0.781
LRG_linear,0.758,4.0,0.689
SVM_linear,0.758,3.0,0.781
KNNC_10%,0.636,3.0,0.781
KNNC_50%,0.636,3.0,0.781
KNNM_10%,0.758,4.0,0.689
KNNM_50%,0.758,4.0,0.689
MLP,0.758,4.0,0.689
