,correlation,auc_position,auc_to_maxindex,time
IsoForest,0.855,3.0,0.765,
KLR_p,0.842,3.0,0.765,
KLR_f,0.842,3.0,0.765,
LRG_nystroem_p,0.842,3.0,0.765,
LRG_nystroem_f,0.842,3.0,0.765,
SVM_p,0.745,5.0,0.674,
SVM_f,0.842,3.0,0.765,
LRG_linear,0.842,3.0,0.765,
SVM_linear,0.842,3.0,0.765,
KNNC_10%,0.842,3.0,0.765,
KNNC_50%,0.842,3.0,0.765,
KNNM_10%,0.842,3.0,0.765,
KNNM_50%,0.842,3.0,0.765,
MLP,0.891,3.0,0.765,
KNNC_W_50%,0.83,5.0,0.615,945.1173329353333
