,correlation,auc_position,auc_to_maxindex
KLR_p,-0.176,6.0,0.49
KLR_f,-0.212,6.0,0.49
LRG_nystroem_p,-0.006,6.0,0.49
LRG_nystroem_f,-0.006,6.0,0.49
SVM_p,0.188,6.0,0.49
SVM_f,0.018,6.0,0.49
LRG_linear,-0.006,6.0,0.49
SVM_linear,0.261,6.0,0.49
KNNC_10%,-0.127,6.0,0.49
KNNC_50%,-0.321,6.0,0.49
KNNM_10%,-0.067,6.0,0.49
KNNM_50%,-0.176,6.0,0.49
MLP,-0.152,8.0,0.302
