,correlation,auc_position,auc_to_maxindex,time
IsoForest,0.406,5.0,0.745,
KLR_p,0.661,5.0,0.745,
KLR_f,0.673,5.0,0.745,
LRG_nystroem_p,0.624,5.0,0.745,
LRG_nystroem_f,0.697,5.0,0.745,
SVM_p,0.636,5.0,0.745,
SVM_f,0.576,5.0,0.745,
LRG_linear,0.697,5.0,0.745,
SVM_linear,0.673,5.0,0.745,
KNNC_10%,0.515,5.0,0.745,
KNNC_50%,0.37,5.0,0.745,
KNNM_10%,0.624,5.0,0.745,
KNNM_50%,0.552,5.0,0.745,
MLP,0.406,5.0,0.745,
KNNC_W_50%,0.576,4.0,0.682,38.39966940879822
