,correlation,auc_position,auc_to_maxindex
KLR_p,0.794,4.0,0.681
KLR_f,0.794,4.0,0.681
LRG_nystroem_p,0.794,4.0,0.681
LRG_nystroem_f,0.794,4.0,0.681
SVM_p,0.818,4.0,0.681
SVM_f,0.794,4.0,0.681
LRG_linear,0.794,4.0,0.681
SVM_linear,0.733,4.0,0.681
KNNC_10%,0.794,4.0,0.681
KNNC_50%,0.794,4.0,0.681
KNNM_10%,0.794,4.0,0.681
KNNM_50%,0.794,4.0,0.681
MLP,0.733,4.0,0.681
