,correlation,auc_position,auc_to_maxindex,time
IsoForest,0.855,3.0,0.789,5.747180938720703
KLR_p,0.891,3.0,0.789,4018.396646499634
KLR_f,0.891,3.0,0.789,4030.868480920792
LRG_nystroem_p,0.891,3.0,0.789,75.2214925289154
LRG_nystroem_f,0.891,3.0,0.789,80.65966486930847
SVM_p,0.927,3.0,0.789,70.90749549865723
SVM_f,0.903,3.0,0.789,67.94784116744995
LRG_linear,0.891,3.0,0.789,0.5767941474914551
SVM_linear,0.903,3.0,0.789,0.6020503044128418
KNNC_10%,0.855,3.0,0.789,15.5103497505188
KNNC_50%,0.855,3.0,0.789,90.79691815376282
KNNM_10%,0.855,3.0,0.789,15.530582666397097
KNNM_50%,0.855,3.0,0.789,91.369948387146
MLP,0.867,3.0,0.789,22.11346888542176
KNNC_W_50%,0.806,4.0,0.681,940.4375643730164
